SME,ICT,HB,OC,FL,IE,AIB
5.5,3.6666666666666665,3.3333333333333335,3.3333333333333335,1.0,3.0,3.75
5.0,3.3333333333333335,4.0,1.0,2.0,5.0,2.0
4.0,3.3333333333333335,2.0,3.3333333333333335,0.0,4.0,1.75
4.0,4.0,4.0,4.0,0.0,3.0,3.0
4.5,2.6666666666666665,4.0,4.0,2.0,3.0,2.75
4.0,2.0,2.3333333333333335,3.0,2.0,3.0,1.75
4.0,3.0,3.0,3.0,2.0,3.0,2.5
4.0,3.0,3.0,2.6666666666666665,2.0,3.0,3.0
1.0,3.3333333333333335,3.6666666666666665,4.0,1.0,3.0,2.75
4.0,2.6666666666666665,4.0,4.0,1.0,3.0,1.75
5.5,3.6666666666666665,3.3333333333333335,3.6666666666666665,0.0,3.0,3.5
5.5,2.0,2.6666666666666665,3.6666666666666665,2.0,3.0,3.0
5.5,3.0,3.6666666666666665,3.6666666666666665,2.0,3.0,3.75
5.5,3.6666666666666665,3.3333333333333335,3.3333333333333335,1.0,3.0,3.75
5.0,3.3333333333333335,4.0,1.0,2.0,5.0,2.0
2.5,3.6666666666666665,4.0,2.3333333333333335,0.0,3.0,3.5
5.0,3.3333333333333335,4.0,1.0,2.0,5.0,2.0
4.0,4.0,4.0,4.0,0.0,3.0,3.0
4.0,3.0,3.0,3.0,2.0,3.0,2.5
1.0,3.3333333333333335,3.6666666666666665,4.0,1.0,3.0,2.75
5.5,3.6666666666666665,3.3333333333333335,3.6666666666666665,0.0,3.0,3.5
5.5,3.0,3.6666666666666665,3.6666666666666665,2.0,3.0,3.75
5.5,3.6666666666666665,3.3333333333333335,3.3333333333333335,1.0,3.0,3.75
4.0,4.0,4.0,4.0,0.0,3.0,3.0
4.5,2.6666666666666665,4.0,4.0,2.0,3.0,2.75
4.0,2.6666666666666665,4.0,4.0,1.0,3.0,1.75
5.5,3.6666666666666665,3.3333333333333335,3.6666666666666665,0.0,3.0,3.5
5.5,3.0,3.6666666666666665,3.6666666666666665,2.0,3.0,3.75
2.5,3.6666666666666665,4.0,2.3333333333333335,0.0,3.0,3.5
5.0,3.3333333333333335,4.0,1.0,2.0,5.0,2.0
4.0,4.0,4.0,4.0,0.0,3.0,3.0
4.5,2.6666666666666665,4.0,4.0,2.0,3.0,2.75
1.0,3.3333333333333335,3.6666666666666665,4.0,1.0,3.0,2.75
4.0,2.6666666666666665,4.0,4.0,1.0,3.0,1.75
2.5,3.6666666666666665,4.0,2.3333333333333335,0.0,3.0,3.5
5.0,3.3333333333333335,4.0,1.0,2.0,5.0,2.0
4.0,4.0,4.0,4.0,0.0,3.0,3.0
4.5,2.6666666666666665,4.0,4.0,2.0,3.0,2.75
4.0,2.0,2.3333333333333335,3.0,2.0,3.0,1.75
3.5,2.0,3.0,2.6666666666666665,2.0,4.0,1.5
4.0,3.0,3.0,3.0,2.0,3.0,2.5
4.0,3.0,3.0,2.6666666666666665,2.0,3.0,3.0
1.0,3.3333333333333335,3.6666666666666665,4.0,1.0,3.0,2.75
5.5,2.0,2.6666666666666665,3.6666666666666665,2.0,3.0,3.0
5.5,3.0,3.6666666666666665,3.6666666666666665,2.0,3.0,3.75
4.5,1.0,1.0,1.0,2.0,4.0,1.0
4.0,2.3333333333333335,1.6666666666666667,3.3333333333333335,1.0,3.0,2.25
5.5,3.6666666666666665,3.3333333333333335,3.3333333333333335,1.0,3.0,3.75
5.0,3.3333333333333335,4.0,1.0,2.0,5.0,2.0
4.5,2.6666666666666665,4.0,4.0,2.0,3.0,2.75
4.0,2.0,2.3333333333333335,3.0,2.0,3.0,1.75
3.5,2.0,3.0,2.6666666666666665,2.0,4.0,1.5
4.0,3.0,3.0,3.0,2.0,3.0,2.5
4.0,3.0,3.0,2.6666666666666665,2.0,3.0,3.0
5.5,2.0,2.6666666666666665,3.6666666666666665,2.0,3.0,3.0
5.5,3.0,3.6666666666666665,3.6666666666666665,2.0,3.0,3.75
4.5,1.0,1.0,1.0,2.0,4.0,1.0
5.0,3.3333333333333335,4.0,1.0,2.0,5.0,2.0
4.5,2.6666666666666665,4.0,4.0,2.0,3.0,2.75
4.0,2.0,2.3333333333333335,3.0,2.0,3.0,1.75
3.5,2.0,3.0,2.6666666666666665,2.0,4.0,1.5
4.0,3.0,3.0,3.0,2.0,3.0,2.5
4.0,3.0,3.0,2.6666666666666665,2.0,3.0,3.0
5.5,2.0,2.6666666666666665,3.6666666666666665,2.0,3.0,3.0
5.5,3.0,3.6666666666666665,3.6666666666666665,2.0,3.0,3.75
4.5,1.0,1.0,1.0,2.0,4.0,1.0
5.0,3.3333333333333335,4.0,1.0,2.0,5.0,2.0
4.0,4.0,4.0,4.0,0.0,3.0,3.0
4.5,2.6666666666666665,4.0,4.0,2.0,3.0,2.75
4.0,2.0,2.3333333333333335,3.0,2.0,3.0,1.75
3.5,2.0,3.0,2.6666666666666665,2.0,4.0,1.5
4.0,3.0,3.0,3.0,2.0,3.0,2.5
4.0,3.0,3.0,2.6666666666666665,2.0,3.0,3.0
1.0,3.3333333333333335,3.6666666666666665,4.0,1.0,3.0,2.75
4.0,2.6666666666666665,4.0,4.0,1.0,3.0,1.75
1.0,2.6666666666666665,2.3333333333333335,2.0,0.0,3.0,2.25
5.5,3.6666666666666665,3.3333333333333335,3.6666666666666665,0.0,3.0,3.5
3.5,1.3333333333333333,2.3333333333333335,2.6666666666666665,0.0,3.0,1.75
5.5,2.0,2.6666666666666665,3.6666666666666665,2.0,3.0,3.0
3.5,2.0,2.6666666666666665,3.6666666666666665,0.0,4.0,3.0
5.5,3.0,3.6666666666666665,3.6666666666666665,2.0,3.0,3.75
4.5,1.0,1.0,1.0,2.0,4.0,1.0
2.5,3.6666666666666665,4.0,2.3333333333333335,0.0,3.0,3.5
4.0,2.3333333333333335,1.6666666666666667,3.3333333333333335,1.0,3.0,2.25
5.5,3.6666666666666665,3.3333333333333335,3.3333333333333335,1.0,3.0,3.75
5.0,3.3333333333333335,4.0,1.0,2.0,5.0,2.0
4.0,3.3333333333333335,2.0,3.3333333333333335,0.0,4.0,1.75
4.0,4.0,4.0,4.0,0.0,3.0,3.0
4.5,2.6666666666666665,4.0,4.0,2.0,3.0,2.75
4.0,2.0,2.3333333333333335,3.0,2.0,3.0,1.75
4.0,3.0,3.0,3.0,2.0,3.0,2.5
4.0,3.0,3.0,2.6666666666666665,2.0,3.0,3.0
1.0,3.3333333333333335,3.6666666666666665,4.0,1.0,3.0,2.75
4.0,2.6666666666666665,4.0,4.0,1.0,3.0,1.75
5.5,3.6666666666666665,3.3333333333333335,3.6666666666666665,0.0,3.0,3.5
5.5,2.0,2.6666666666666665,3.6666666666666665,2.0,3.0,3.0
5.5,3.0,3.6666666666666665,3.6666666666666665,2.0,3.0,3.75
5.5,3.6666666666666665,3.3333333333333335,3.3333333333333335,1.0,3.0,3.75
5.0,3.3333333333333335,4.0,1.0,2.0,5.0,2.0
2.5,3.6666666666666665,4.0,2.3333333333333335,0.0,3.0,3.5
5.0,3.3333333333333335,4.0,1.0,2.0,5.0,2.0
4.0,4.0,4.0,4.0,0.0,3.0,3.0
4.0,3.0,3.0,3.0,2.0,3.0,2.5
1.0,3.3333333333333335,3.6666666666666665,4.0,1.0,3.0,2.75
5.5,3.6666666666666665,3.3333333333333335,3.6666666666666665,0.0,3.0,3.5
5.5,3.0,3.6666666666666665,3.6666666666666665,2.0,3.0,3.75
5.5,3.6666666666666665,3.3333333333333335,3.3333333333333335,1.0,3.0,3.75
4.0,4.0,4.0,4.0,0.0,3.0,3.0
4.5,2.6666666666666665,4.0,4.0,2.0,3.0,2.75
4.0,2.6666666666666665,4.0,4.0,1.0,3.0,1.75
5.5,3.6666666666666665,3.3333333333333335,3.6666666666666665,0.0,3.0,3.5
5.5,3.0,3.6666666666666665,3.6666666666666665,2.0,3.0,3.75
2.5,3.6666666666666665,4.0,2.3333333333333335,0.0,3.0,3.5
5.0,3.3333333333333335,4.0,1.0,2.0,5.0,2.0
4.0,4.0,4.0,4.0,0.0,3.0,3.0
4.5,2.6666666666666665,4.0,4.0,2.0,3.0,2.75
1.0,3.3333333333333335,3.6666666666666665,4.0,1.0,3.0,2.75
4.0,2.6666666666666665,4.0,4.0,1.0,3.0,1.75
2.5,3.6666666666666665,4.0,2.3333333333333335,0.0,3.0,3.5
5.0,3.3333333333333335,4.0,1.0,2.0,5.0,2.0
4.0,4.0,4.0,4.0,0.0,3.0,3.0
4.5,2.6666666666666665,4.0,4.0,2.0,3.0,2.75
4.0,2.0,2.3333333333333335,3.0,2.0,3.0,1.75
3.5,2.0,3.0,2.6666666666666665,2.0,4.0,1.5
4.0,3.0,3.0,3.0,2.0,3.0,2.5
4.0,3.0,3.0,2.6666666666666665,2.0,3.0,3.0
1.0,3.3333333333333335,3.6666666666666665,4.0,1.0,3.0,2.75
5.5,2.0,2.6666666666666665,3.6666666666666665,2.0,3.0,3.0
5.5,3.0,3.6666666666666665,3.6666666666666665,2.0,3.0,3.75
4.5,1.0,1.0,1.0,2.0,4.0,1.0
4.0,2.3333333333333335,1.6666666666666667,3.3333333333333335,1.0,3.0,2.25
5.5,3.6666666666666665,3.3333333333333335,3.3333333333333335,1.0,3.0,3.75
5.0,3.3333333333333335,4.0,1.0,2.0,5.0,2.0
4.5,2.6666666666666665,4.0,4.0,2.0,3.0,2.75
4.0,2.0,2.3333333333333335,3.0,2.0,3.0,1.75
3.5,2.0,3.0,2.6666666666666665,2.0,4.0,1.5
4.0,3.0,3.0,3.0,2.0,3.0,2.5
4.0,3.0,3.0,2.6666666666666665,2.0,3.0,3.0
5.5,2.0,2.6666666666666665,3.6666666666666665,2.0,3.0,3.0
5.5,3.0,3.6666666666666665,3.6666666666666665,2.0,3.0,3.75
4.5,1.0,1.0,1.0,2.0,4.0,1.0
5.0,3.3333333333333335,4.0,1.0,2.0,5.0,2.0
4.5,2.6666666666666665,4.0,4.0,2.0,3.0,2.75
4.0,2.0,2.3333333333333335,3.0,2.0,3.0,1.75
3.5,2.0,3.0,2.6666666666666665,2.0,4.0,1.5
4.0,3.0,3.0,3.0,2.0,3.0,2.5
4.0,3.0,3.0,2.6666666666666665,2.0,3.0,3.0
5.5,2.0,2.6666666666666665,3.6666666666666665,2.0,3.0,3.0
5.5,3.0,3.6666666666666665,3.6666666666666665,2.0,3.0,3.75
4.5,1.0,1.0,1.0,2.0,4.0,1.0
5.0,3.3333333333333335,4.0,1.0,2.0,5.0,2.0
